"file","category","status","disposition","finding_ids","reviewer","evidence"
".env.example","repository-file","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
".gitignore","repository-file","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
".npmrc","repository-file","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"AGENTS.md","documentation","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/.env.example","repository-file","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/fixtures/aisstream-replay.jsonl","repository-file","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/package.json","configuration","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/ais/ais-message-normaliser.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/ais/ais-replay-stream-client.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/ais/ais-stream-live-client.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/ais/ais-stream-status-tracker.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
"apps/api/src/ais/aisstream-message-parser.ts","api-source","reviewed","no validated issue","","orchestrator+sast+dast","Tracked by inventory; covered by lint/typecheck/tests/build, Trivy secret/vuln/misconfig scan, pnpm audit, and targeted sink review."
